Incident Number,Severity,Severity Level,Date,Location,Pipeline Operator,Material Released,PHMSA Guide Reference,Incident Description,Response Actions,Casualties & Injuries
2,🟡 Minor,Minor,"April 15, 2023","Midland, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"An unexpected valve failure at a natural gas compressor station caused a rapid pressure buildup, exceeding safe operating limits. The relief valve failed to activate due to blockage in the venting system.","Emergency shutdown initiated per 49 CFR 192.167.
Automated blowdown system activated to release excess pressure safely.
Evacuation of non-essential personnel within a 500-meter radius.
Inspection confirmed pipeline integrity, and pressure relief system was repaired.",No injuries reported.
3,🟡 Minor,Minor,"September 9, 2022","Bakersfield, California",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A corrosion-induced failure in a 36-inch crude oil pipeline led to a spill of approximately 15,000 gallons of oil into a nearby dry creek bed.","Pipeline shut down immediately, and isolation valves were closed.
Spill containment booms deployed to prevent further spread.
Air and soil monitoring conducted per 49 CFR 195.452 guidelines.
Root cause analysis identified external corrosion as the primary factor.","No injuries reported, but significant environmental cleanup required."
4,🔴 Critical,Critical,"February 22, 2021","Houston, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A flange gasket failure at a compressor station resulted in a high-pressure gas leak. The station’s gas detection sensors triggered an alarm, leading to an emergency response.","Shutdown procedures executed per 49 CFR 192.167.
Fire suppression teams on standby due to explosion risk.
Immediate evacuation and monitoring for atmospheric gas levels.
Investigation determined gasket failure due to improper maintenance.",No injuries reported.
5,🟡 Minor,Minor,"July 5, 2023","Baton Rouge, Louisiana",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"A mechanical failure in a pump station control valve led to an uncontrolled release of diesel fuel, affecting nearby storm drains.","Immediate shutdown of pumping station and isolation of leak source.
Spill containment and hazardous material response initiated.
Environmental cleanup teams deployed per 49 CFR 195.422.
Inspection revealed worn-out valve components as the root cause.","No injuries, but significant environmental damage."
6,🟠 Moderate,Moderate,"October 17, 2020","Tulsa, Oklahoma",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A mechanical failure in the compressor unit led to excessive heat buildup, igniting a small fire. The fire suppression system activated, but high-pressure gas was still venting from the system.","Compressor unit shutdown per 49 CFR 192.735.
Fire suppression system activated, preventing further escalation.
Hazardous gas monitoring conducted to prevent secondary ignition.
Mechanical inspection determined root cause as metal fatigue in turbine blades.","Two employees sustained minor burns, treated on-site."
7,🟠 Moderate,Moderate,"May 8, 2021","Denver, Colorado",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A construction crew operating an excavator failed to check for underground gas lines and struck a high-pressure natural gas transmission pipeline, causing an immediate gas release.","Immediate evacuation within a 1.6 km radius per PHMSA Guide 115.
Pipeline section shut down and gas rerouted.
Fire department on standby in case of ignition.
Third-party contractor cited for failure to follow 49 CFR 192.614 excavation notification procedures.","No injuries, but significant gas loss and regulatory fines issued."
8,🟠 Moderate,Moderate,"August 2, 2019","New Orleans, Louisiana",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"An electrical failure in a motor control panel at a pump station caused a fire in the control room, cutting off remote monitoring and shutting down the station.","Local fire department responded and extinguished the fire.
Emergency shutoff procedures activated to prevent further damage.
Manual operations resumed per 49 CFR 195.262.
Post-incident inspection identified faulty wiring as the cause.","No injuries, station back online after 24-hour downtime."
9,🟡 Minor,Minor,"March 25, 2023","Cheyenne, Wyoming",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"Routine pipeline monitoring detected decreasing pressure, indicating a potential leak. Inspection crews discovered a 10-inch rupture caused by external corrosion.","Pipeline shut down and containment barriers deployed.
Spill cleanup and environmental assessment conducted.
Regulators notified per 49 CFR 195.452.
Pipeline repair included section replacement with corrosion-resistant materials.","No injuries, but significant environmental cleanup required."
10,🟡 Minor,Minor,"July 10, 2022","Corpus Christi, Texas",XYZ Pipeline Company,Hydrogen Sulfide (UN 1053),Guide 117,"A pressure regulator failure at a gas processing plant led to a release of hydrogen sulfide (H₂S). The leak triggered gas detection alarms, and workers were immediately evacuated.","Emergency response team activated per 49 CFR 192.631.
H₂S detection confirmed within a 500-meter exclusion zone.
Evacuation of all non-essential personnel.
Leak repaired after system depressurization.","Two employees experienced mild H₂S exposure, received medical clearance."
11,🔴 Critical,Critical,"November 18, 2021","Pittsburgh, Pennsylvania",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A leak in an underground gas storage facility led to gas accumulation in an adjacent utility trench. A spark from maintenance equipment caused an explosion, damaging nearby buildings.","Immediate shutdown of storage facility and gas rerouted.
Emergency evacuation of 2-mile radius per PHMSA recommendations.
Hazardous materials team deployed to assess gas levels.
Structural damage assessment conducted before reentry.","Three workers sustained moderate burn injuries, hospitalized."
12,🟡 Minor,Minor,"June 5, 2020","Oklahoma City, Oklahoma",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A valve malfunction at a pump station resulted in a high-pressure oil release, spilling approximately 12,000 gallons of crude oil into a containment area.","Pump station shut down immediately per 49 CFR 195.262.
Emergency containment barriers deployed to prevent environmental impact.
Cleanup crews used vacuum trucks to recover spilled oil.
Valve failure traced to excessive wear; new monitoring sensors installed.",No injuries reported.
13,🟡 Minor,Minor,"September 12, 2021","Pittsburgh, Pennsylvania",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,A routine inspection identified a small gas leak in a high-pressure transmission pipeline. Further investigation revealed external corrosion as the root cause.,"Pipeline section isolated and depressurized for safety.
Leak repaired with a composite sleeve per 49 CFR 192.711.
Cathodic protection system upgraded to prevent future corrosion.
Regulatory authorities notified per reporting requirements.",No injuries reported.
14,🔴 Critical,Critical,"April 8, 2023","Cheyenne, Wyoming",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A mechanical failure in a compressor unit caused an explosion, resulting in significant equipment damage but no fatalities.","Emergency shutdown initiated per 49 CFR 192.167.
Fire suppression teams activated to control secondary fires.
Investigation revealed overpressure in the compression unit.
New overpressure protection measures implemented.","One technician sustained minor burns, treated on-site."
15,🟡 Minor,Minor,"July 15, 2022","Denver, Colorado",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A construction crew accidentally struck an underground crude oil pipeline, causing a significant release. The contractor had failed to obtain proper clearance before digging.","Pipeline shut down and isolation valves engaged.
Oil spill response teams deployed to prevent environmental damage.
Regulatory investigation conducted; fines issued to the contractor.
Pipeline repaired and reinforced per 49 CFR 195.422.",No injuries reported.
16,🟡 Minor,Minor,"January 21, 2021","Baton Rouge, Louisiana",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"A weld failure in a storage tank at a pipeline pump station led to the release of 5,000 gallons of diesel fuel into a secondary containment area.","Tank isolated, fuel transfer operations stopped.
Spilled diesel recovered using vacuum pumps.
Structural assessment conducted; faulty welds replaced.
Regulatory agencies notified, and new tank inspection protocols implemented.",No injuries reported.
17,🟡 Minor,Minor,"November 4, 2020","Corpus Christi, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,A hairline crack in a high-pressure pipeline near a compressor station led to a slow but steady release of natural gas. The leak was detected through routine aerial surveillance.,"Pipeline section shut down per 49 CFR 192.711.
Crack sealed using composite repair sleeves.
Pipeline integrity monitoring improved to detect similar failures earlier.
No environmental contamination reported.",No injuries reported.
18,🟠 Moderate,Moderate,"May 14, 2022","Houston, Texas",XYZ Pipeline Company,None (Fire Damage),Guide 128,"An electrical panel short circuit at a crude oil pump station resulted in a fire that damaged station control systems. The fire was contained quickly, but operations were halted.","Pump station power supply isolated to prevent further damage.
Local fire department responded and suppressed the fire.
Damaged electrical systems replaced per NFPA guidelines.
New fire suppression system installed.",No injuries reported.
19,🟡 Minor,Minor,"August 19, 2023","Tulsa, Oklahoma",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,A pressure regulation system malfunction resulted in a temporary overpressure condition in a transmission pipeline.,"Emergency shutdown activated per 49 CFR 192.195.
Relief valves manually operated to vent excess gas safely.
Pipeline pressure monitoring enhanced to prevent future issues.
No reported pipeline damage.",No injuries reported.
20,🟠 Moderate,Moderate,"March 29, 2021","Cheyenne, Wyoming",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A lightning strike hit an above-ground section of a natural gas pipeline, causing a small localized fire that was quickly extinguished.","Pipeline shutdown and damage assessment conducted.
Fire suppression teams responded immediately.
Pipeline segment reinforced with lightning protection measures.
Incident reviewed for emergency response training.",No injuries reported.
21,🟡 Minor,Minor,"October 12, 2022","New Orleans, Louisiana",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"Ground subsidence near a wetland area caused stress on a buried pipeline, leading to a small crude oil leak detected by monitoring systems.","Pipeline pressure reduced to mitigate further leaks.
Leak location excavated and repaired per 49 CFR 195.422.
Geotechnical surveys conducted to assess future subsidence risks.
Enhanced monitoring implemented for pipeline movement.",No injuries reported.
22,🟠 Moderate,Moderate,"April 3, 2021","Tulsa, Oklahoma",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"An overheated bearing in a compressor unit ignited, causing a fire in the facility’s engine room.","Fire suppression system engaged automatically.
Station evacuated per emergency protocols.
Fire extinguished before it spread to other units.
Preventive maintenance increased to avoid overheating issues.","One technician suffered minor smoke inhalation, treated on-site."
23,🟡 Minor,Minor,"January 6, 2023","Denver, Colorado",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,A weld joint failure in a newly installed gas transmission pipeline resulted in pressure loss and gas venting.,"Pipeline segment isolated per 49 CFR 192.711.
Emergency personnel evacuated a 1-mile radius as a precaution.
Weld testing procedures revised to prevent future errors.",No injuries reported.
24,🟡 Minor,Minor,"June 18, 2022**","Midland, Texas",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,A valve failure in a diesel pipeline pump station resulted in continuous leaking until an operator noticed the issue.,"Pumping operations shut down immediately.
Secondary containment system prevented environmental contamination.
Failed valve replaced and all station components inspected.",No injuries reported.
25,🔴 Critical,Critical,"November 27, 2021","Corpus Christi, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A third-party drilling crew struck a gas pipeline, causing a high-pressure leak that later ignited, resulting in an explosion.","Immediate shutdown of the pipeline per 49 CFR 192.614 excavation damage protocols.
Fire crews responded to suppress flames.
Regulatory fines issued against the contractor.","Two workers sustained moderate burn injuries, hospitalized."
26,🟡 Minor,Minor,"September 14, 2020","Oklahoma City, Oklahoma",XYZ Pipeline Company,Anhydrous Ammonia (UN 1005),Guide 125,"A pressure valve malfunction resulted in anhydrous ammonia venting into the air, triggering hazardous material alarms.","Emergency shutdown of pipeline section per 49 CFR 195.134.
Evacuation ordered for a 1-mile radius.
Gas dispersion monitoring confirmed safe re-entry after 6 hours.","One responder experienced eye irritation, treated on-site."
27,🟡 Minor,Minor,"May 21, 2023","New Orleans, Louisiana",XYZ Pipeline Company,Hydrogen Sulfide (UN 1053),Guide 117,"A sudden pressure drop in a processing unit led to an H₂S gas release, prompting an emergency response.","H₂S detection alarms triggered automatic shutdown.
Facility personnel evacuated.
Ventilation systems engaged to disperse gas safely.",No injuries reported.
28,🟡 Minor,Minor,"July 9, 2021","Houston, Texas",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,A pump station shutdown due to an internal gear failure caused oil to backflow into the containment system.,"Immediate station shutdown and cleanup.
Structural assessment identified mechanical fatigue as cause.
Preventive maintenance program improved.",No injuries reported.
29,🟡 Minor,Minor,"February 16, 2022","Cheyenne, Wyoming",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A landslide shifted a buried pipeline, leading to structural failure and a major crude oil release.","Pipeline shutdown and spill containment deployed.
Geotechnical survey conducted to stabilize future pipeline routes.",No injuries reported.
30,🟡 Minor,Minor,"March 3, 2023","Pittsburgh, Pennsylvania",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,A sudden increase in pressure at a compressor station triggered automatic shutdown protocols to prevent a rupture.,"Overpressure venting system activated.
Station shutdown until pressure levels stabilized.
Review of pressure control systems to prevent future occurrences.",No injuries reported.
31,🟡 Minor,Minor,"August 10, 2021","Midland, Texas",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A mechanical valve failure at a pump station led to an uncontrolled crude oil leak, spilling 8,000 gallons into the facility’s containment area.","Pump station shut down and leak isolated.
Spilled oil recovered using vacuum trucks.
All station valves inspected and replaced where necessary.",No injuries reported.
32,🟠 Moderate,Moderate,"September 23, 2022","Oklahoma City, Oklahoma",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A private construction crew conducted excavation work without a proper dig permit, striking a natural gas pipeline and causing a pressure drop and gas release.","Emergency shutdown initiated per 49 CFR 192.614.
Fire department deployed as a precaution against ignition.
Excavation company fined for failure to follow pipeline safety regulations.",No injuries reported.
33,🟡 Minor,Minor,"March 14, 2020","Houston, Texas",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A pressure sensor malfunction caused a temporary pressure surge in an oil pipeline, exceeding its maximum operating pressure.","Emergency venting system activated per 49 CFR 195.406.
Pipeline temporarily shut down to relieve excess pressure.
Sensor calibration procedures updated.",No injuries reported.
34,⚪ Near Miss / No Impact,,"July 27, 2023","Denver, Colorado",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,Routine gas leak detection monitoring identified a small but continuous natural gas leak at a compressor station caused by internal corrosion in the pipeline segment.,"Station shut down to allow safe repair work.
Pipeline section replaced with corrosion-resistant material.
Corrosion monitoring schedule increased.",No injuries reported.
35,🟠 Moderate,Moderate,"May 19, 2022","Baton Rouge, Louisiana",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A direct lightning strike hit an above-ground crude oil pipeline, igniting residual vapors and causing a localized fire.","Fire suppression teams deployed and contained the fire.
Pipeline integrity inspection performed before resuming operations.
Lightning protection system installed at the site.",No injuries reported.
36,🟡 Minor,Minor,"December 1, 2021","Pittsburgh, Pennsylvania",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,A hose coupling failure during tanker loading caused 500 gallons of diesel to spill before the flow was shut off.,"Loading operations suspended.
Spilled diesel absorbed and recovered.
All loading equipment inspected and damaged hose replaced.",No injuries reported.
37,🟡 Minor,Minor,"January 10, 2023","Cheyenne, Wyoming",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A 70-year-old pipeline segment failed due to metal fatigue, resulting in a rupture and gas release.","Emergency shutdown of affected pipeline.
Aging sections replaced with new high-strength steel pipe.
Enhanced monitoring of legacy infrastructure implemented.",No injuries reported.
38,🟡 Minor,Minor,"October 8, 2021","Corpus Christi, Texas",XYZ Pipeline Company,Sulfuric Acid (UN 1830),Guide 137,A valve failure in a sulfuric acid pipeline led to 30 gallons of acid leaking before containment was initiated.,"Hazmat team deployed per PHMSA response protocol.
Acid neutralized with lime.
Valve inspection frequency increased.",One worker suffered minor skin irritation.
39,🟠 Moderate,Moderate,"March 30, 2022","Tulsa, Oklahoma",XYZ Pipeline Company,None (Fire Event),Guide 115,"A compressor turbine failure led to overheating, igniting nearby equipment.","Fire suppression system contained the flames.
Processing facility shut down for full inspection.
Preventive maintenance on turbines improved.",No injuries reported.
40,🟡 Minor,Minor,"September 5, 2023","Houston, Texas",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"Heavy flash floods caused soil erosion, leading to pipeline displacement and a minor oil leak.","Pipeline shut down and affected section stabilized.
Geotechnical assessment performed.
Pipeline reburied with flood-resistant measures.",No injuries reported.
41,🟠 Moderate,Moderate,"June 10, 2022","Baton Rouge, Louisiana",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A contractor operating a backhoe without proper permits struck a natural gas pipeline, causing a pressurized gas leak.","Pipeline shutdown and emergency response initiated per 49 CFR 192.614.
Local fire department deployed as a precaution against ignition.
Excavation company fined for non-compliance.",No injuries reported.
42,🟡 Minor,Minor,"August 5, 2021","Corpus Christi, Texas",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"A crack in a buried diesel pipeline within a storage facility resulted in a slow, undetected leak over several days before discovery.","Pipeline section isolated for inspection and repair.
Leak detection systems upgraded to improve early warning capabilities.
Soil remediation conducted to prevent groundwater contamination.",No injuries reported.
